date,Rate
2018-08-24,41.873
2018-08-25,41.873
2018-08-26,41.9039
2018-08-27,41.9388
2018-08-28,41.9286
2018-08-29,42.5828
2018-08-30,42.6553
2018-08-31,42.4045
2018-09-01,42.4045
2018-09-02,42.3636
2018-09-03,42.0933
2018-09-04,42.1799
2018-09-05,42.3132
2018-09-06,42.3878
2018-09-07,42.3495
2018-09-08,42.3527
2018-09-09,42.449
2018-09-10,42.7504
2018-09-11,42.6693
2018-09-12,42.6891
2018-09-13,42.7488
2018-09-14,42.6717
2018-09-15,42.6721
2018-09-16,42.7236
2018-09-17,42.8995
2018-09-18,42.861
2018-09-19,42.6046
2018-09-20,42.9183
2018-09-21,42.3147
2018-09-22,42.3177
2018-09-23,42.4198
2018-09-24,42.5049
2018-09-25,42.7216
2018-09-26,42.7278
2018-09-27,42.4125
2018-09-28,42.084
2018-09-29,42.084
2018-09-30,42.1227
2018-10-01,42.1002
2018-10-02,42.0051
2018-10-03,42.088
2018-10-04,42.6276
2018-10-05,43.0034
2018-10-06,43.0041
2018-10-07,43.103
2018-10-08,43.087
2018-10-09,43.3159
2018-10-10,43.5613
2018-10-11,43.2813
2018-10-12,43.0142
2018-10-13,43.0142
2018-10-14,42.9133
2018-10-15,42.947
2018-10-16,42.8621
2018-10-17,42.6275
2018-10-18,42.4996
2018-10-19,42.5473
2018-10-20,42.5473
2018-10-21,42.5948
2018-10-22,42.5545
2018-10-23,42.6461
2018-10-24,42.4224
2018-10-25,42.2092
2018-10-26,42.3461
2018-10-27,42.3339
2018-10-28,42.4282
2018-10-29,42.589
2018-10-30,42.2985
2018-10-31,42.2866
2018-11-01,42.772
2018-11-02,42.6073
2018-11-03,42.6073
2018-11-04,42.6798
2018-11-05,43.0378
2018-11-06,43.1646
2018-11-07,43.0883
2018-11-08,43.1032
2018-11-09,42.8769
2018-11-10,42.8902
2018-11-11,42.7737
2018-11-12,42.6123
2018-11-13,42.869
2018-11-14,42.7752
2018-11-15,42.0609
2018-11-16,42.1731
2018-11-17,42.1702
2018-11-18,42.1692
2018-11-19,42.3482
2018-11-20,42.2084
2018-11-21,42.0325
2018-11-22,42.4571
2018-11-23,42.3804
2018-11-24,42.4061
2018-11-25,42.3749
2018-11-26,42.322
2018-11-27,42.0678
2018-11-28,42.2465
2018-11-29,42.1005
2018-11-30,42.0418
2018-12-01,42.0373
2018-12-02,41.9412
2018-12-03,41.6888
2018-12-04,41.6894
2018-12-05,41.7092
2018-12-06,41.9996
2018-12-07,41.7977
2018-12-08,41.8098
2018-12-09,41.7535
2018-12-10,41.3117
2018-12-11,41.0045
2018-12-12,41.3667
2018-12-13,41.4445
2018-12-14,41.3259
2018-12-15,41.3215
2018-12-16,41.3047
2018-12-17,41.351
2018-12-18,41.3893
2018-12-19,41.327
2018-12-20,41.3737
2018-12-21,41.1717
2018-12-22,41.1627
2018-12-23,41.2879
2018-12-24,41.3338
2018-12-25,41.2868
2018-12-26,41.2066
2018-12-27,41.1386
2018-12-28,41.3396
2018-12-29,41.3393
2018-12-30,41.291
2018-12-31,41.0785
2019-01-01,41.2336
2019-01-02,40.3977
2019-01-03,40.6551
2019-01-04,40.6917
2019-01-05,40.673
2019-01-06,40.7119
2019-01-07,40.8381
2019-01-08,40.7577
2019-01-09,40.8547
2019-01-10,40.695
2019-01-11,40.9963
2019-01-12,40.9863
2019-01-13,41.0359
2019-01-14,41.0992
2019-01-15,41.0604
2019-01-16,40.8128
2019-01-17,41.19
2019-01-18,40.8973
2019-01-19,40.8973
2019-01-20,40.8298
2019-01-21,41.0062
2019-01-22,41.1759
